country,year,year_month,month,n_users,pct_is_hired_1mo,pct_is_unemployed,pct_job_offer,pct_job_search,pct_lost_job_1mo,pct_is_hired_1mo_male,pct_is_unemployed_male,pct_job_offer_male,pct_job_search_male,pct_lost_job_1mo_male,pct_is_hired_1mo_female,pct_is_unemployed_female,pct_job_offer_female,pct_job_search_female,pct_lost_job_1mo_female
Brazil,2012,2012_1,1,905864,0.499633499,0.845270372,0.831912958,0.277304319,0.00838978,0.740248416,1.193909719,0.812809834,0.339026457,0.017683035,0.848089641,1.550722047,0.515263765,0.547313664,0.006779786
Brazil,2012,2012_2,2,856859,0.420489252,0.781458793,0.788461112,0.260252854,0.00746914,0.567369634,1.054765968,0.746207565,0.303520714,0.013223932,0.695162108,1.395459301,0.416583756,0.496177571,0.005135085
Brazil,2012,2012_3,3,867746,0.39228069,0.767390458,0.90118537,0.249496973,0.006799225,0.556124967,1.029368966,0.89334295,0.319502967,0.013286262,0.680285231,1.418439716,0.511821403,0.496389602,0.009644876
Brazil,2012,2012_4,4,850520,0.304402013,0.658185581,0.793396981,0.194939566,0.005643606,0.432360575,0.857124771,0.722922074,0.232322593,0.005697284,0.518814324,1.184377131,0.451284049,0.380507126,0.011038603
Brazil,2012,2012_5,5,860214,0.300622868,0.655069552,0.829909767,0.199717745,0.005463757,0.411314268,0.809501485,0.718237225,0.23628692,0.008751367,0.486886015,1.194728335,0.482975284,0.380644488,0.007821462
Brazil,2012,2012_6,6,821148,0.278999644,0.612557054,0.827987159,0.170249456,0.007793966,0.399768965,0.799537929,0.751513736,0.214161945,0.018820292,0.453014916,1.077769814,0.447605782,0.308996741,0.003380708
Brazil,2012,2012_7,7,838191,0.30470382,0.607140855,0.850522136,0.177286561,0.008709232,0.424054289,0.778279279,0.761774172,0.208218274,0.019679166,0.479525143,1.051754035,0.466186475,0.334133653,0.008003201
Brazil,2012,2012_8,8,797313,0.295116222,0.615943801,0.923100464,0.187003097,0.008528646,0.395214626,0.774379928,0.821859181,0.224690549,0.020730378,0.48741031,1.101031302,0.511815691,0.354226663,0.005578373
Brazil,2012,2012_9,9,781449,0.244417742,0.503551735,0.79071059,0.147546417,0.005502598,0.330268496,0.661896122,0.699951751,0.173968591,0.008154778,0.385793714,0.863071599,0.423380234,0.263105639,0.008510155
Brazil,2012,2012_10,10,796301,0.2382265,0.53233639,0.820041668,0.163129269,0.005274387,0.295210362,0.618535998,0.766475884,0.170699869,0.010041169,0.366196009,0.926955362,0.476680193,0.298098838,0.006253822
Brazil,2012,2012_11,11,771058,0.233445474,0.531996296,0.818485769,0.152517709,0.007003364,0.28194311,0.609832505,0.756721385,0.171254334,0.006961558,0.37646722,0.908960779,0.460921844,0.269109648,0.007872889
Brazil,2012,2012_12,12,769112,0.250808725,0.498626988,0.662062222,0.137301199,0.003510542,0.303358463,0.576172824,0.577561192,0.133283352,0.00833021,0.384075687,0.829632416,0.448449954,0.253157232,0.002169919
Brazil,2013,2013_1,1,775480,0.359003456,0.729354722,1.034456079,0.27776345,0.007350286,0.474288917,0.797253748,0.978702536,0.279529214,0.011909766,0.548379853,1.308287997,0.829451693,0.556348384,0.009417355
Brazil,2013,2013_2,2,755515,0.298736623,0.639563741,1.036511519,0.222894317,0.005029682,0.379118442,0.738923304,0.976408818,0.244638693,0.010729767,0.484955198,1.125842143,0.867696761,0.392440668,0.00298434
