country,city,year,year_month,month,n_users,pct_is_hired_1mo,pct_is_unemployed,pct_job_offer,pct_job_search,pct_lost_job_1mo,pct_is_hired_1mo_male,pct_is_unemployed_male,pct_job_offer_male,pct_job_search_male,pct_lost_job_1mo_male,pct_is_hired_1mo_female,pct_is_unemployed_female,pct_job_offer_female,pct_job_search_female,pct_lost_job_1mo_female
Brazil,Belo Horizonte,2012,2012_1,1,22067,0.362532288,0.720532922,1.151040015,0.231114334,0.004531654,0.264456982,0.722849083,0.740479549,0.211565585,0.017630465,0.735468565,1.067615658,0.569395018,0.379596679,0
Brazil,Belo Horizonte,2012,2012_2,2,21099,0.29859235,0.654059434,0.928953979,0.270154984,0.004739561,0.308810173,0.690281562,0.599455041,0.326975477,0,0.415851272,0.709393346,0.366927593,0.269080235,0
Brazil,Belo Horizonte,2012,2012_3,3,22658,0.357489628,0.516373908,1.204872451,0.176538088,0.004413452,0.411375425,0.518690753,0.786979074,0.17885888,0,0.385356455,0.891136802,0.674373796,0.313102119,0
Brazil,Belo Horizonte,2012,2012_4,4,21654,0.226286137,0.494135033,1.057541332,0.175487208,0.009236169,0.252981568,0.451752801,0.686664257,0.108420672,0,0.315075133,0.727096461,0.339311682,0.242365487,0.024236549
Brazil,Belo Horizonte,2012,2012_5,5,22938,0.270293836,0.496991891,1.04193914,0.117708606,0,0.25777625,0.395256917,0.46399725,0.034370167,0,0.330578512,0.613931523,0.613931523,0.165289256,0
Brazil,Belo Horizonte,2012,2012_6,6,21753,0.303406427,0.491886177,1.089504896,0.174688549,0.004597067,0.241712707,0.517955801,0.448895028,0.138121547,0,0.327951564,0.756811302,0.554994955,0.201816347,0
Brazil,Belo Horizonte,2012,2012_7,7,22134,0.248486491,0.451793621,1.079786753,0.180717448,0,0.102757321,0.565165268,0.599417709,0.205514643,0,0.47146402,0.570719603,0.521091811,0.248138958,0
Brazil,Belo Horizonte,2012,2012_8,8,21526,0.209049522,0.529592121,1.114930781,0.162594072,0.004645545,0.262927257,0.525854514,0.631025416,0.122699387,0,0.299401198,0.499001996,0.573852295,0.149700599,0
Brazil,Belo Horizonte,2012,2012_9,9,20693,0.212632291,0.347943749,0.93268255,0.120813802,0.004832552,0.252525253,0.234487734,0.559163059,0.054112554,0.018037518,0.231600618,0.617601647,0.308800823,0.231600618,0
Brazil,Belo Horizonte,2012,2012_10,10,21924,0.18700967,0.346652071,0.893997446,0.104907864,0.004561211,0.135180804,0.236566408,0.523825617,0.084488003,0,0.073099415,0.682261209,0.389863548,0.243664717,0
