"country","metro_area_name","year","month","n_users","pct_is_hired_1mo","pct_is_unemployed","pct_job_offer","pct_job_search","pct_lost_job_1mo","pct_is_hired_1mo_male","pct_is_unemployed_male","pct_job_offer_male","pct_job_search_male","pct_lost_job_1mo_male","pct_is_hired_1mo_female","pct_is_unemployed_female","pct_job_offer_female","pct_job_search_female","pct_lost_job_1mo_female"
"Brazil","Belo Horizonte",2009,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2009,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2010,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2011,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brazil","Belo Horizonte",2012,1,22067,0.362532288031903,0.720532922463407,1.15104001450129,0.231114333620338,0.00453165360039879,0.264456981664316,0.722849083215797,0.740479548660085,0.211565585331453,0.0176304654442877,0.735468564650059,1.06761565836299,0.569395017793594,0.379596678529063,0
"Brazil","Belo Horizonte",2012,2,21099,0.298592350348358,0.654059434096403,0.928953978861558,0.270154983648514,0.0047395611166406,0.308810172570391,0.690281562216167,0.599455040871935,0.326975476839237,0,0.415851272015656,0.709393346379648,0.36692759295499,0.26908023483366,0
"Brazil","Belo Horizonte",2012,3,22658,0.357489628387325,0.51637390767058,1.20487245123135,0.176538088092506,0.00441345220231265,0.411375424789841,0.518690752995886,0.786979073511,0.178858880343409,0,0.385356454720617,0.891136801541426,0.674373795761079,0.313102119460501,0
"Brazil","Belo Horizonte",2012,4,21654,0.226286136510575,0.494135032788399,1.05754133185555,0.175487207906161,0.00923616883716634,0.252981568485725,0.451752800867365,0.686664257318395,0.108420672208168,0,0.315075133301018,0.727096461463888,0.339311682016481,0.242365487154629,0.0242365487154629
"Brazil","Belo Horizonte",2012,5,22938,0.270293835556718,0.496991891184933,1.04193914029122,0.117708605806958,0,0.257776250214814,0.395256916996047,0.463997250386664,0.0343701666953085,0,0.330578512396694,0.613931523022432,0.613931523022432,0.165289256198347,0
"Brazil","Belo Horizonte",2012,6,21753,0.303406426699766,0.491886176619317,1.08950489587643,0.174688548705926,0.00459706707120857,0.24171270718232,0.517955801104972,0.448895027624309,0.138121546961326,0,0.32795156407669,0.756811301715439,0.554994954591322,0.201816347124117,0
"Brazil","Belo Horizonte",2012,7,22134,0.248486491370742,0.451793620674076,1.07978675341104,0.18071744826963,0,0.102757321459154,0.565165268025347,0.599417708511731,0.205514642918308,0,0.471464019851117,0.570719602977668,0.521091811414392,0.248138957816377,0
"Brazil","Belo Horizonte",2012,8,21526,0.209049521508873,0.529592121155812,1.11493078138066,0.162594072284679,0.0046455449224194,0.262927256792287,0.525854513584575,0.63102541630149,0.122699386503067,0,0.29940119760479,0.499001996007984,0.573852295409182,0.149700598802395,0
"Brazil","Belo Horizonte",2012,9,20693,0.212632291112937,0.347943749093896,0.932682549654473,0.120813801768714,0.00483255207074856,0.252525252525253,0.234487734487734,0.559163059163059,0.0541125541125541,0.018037518037518,0.231600617601647,0.617601646937725,0.308800823468863,0.231600617601647,0
"Brazil","Belo Horizonte",2012,10,21924,0.18700966976829,0.346652070790002,0.893997445721584,0.104907863528553,0.00456121145776318,0.135180804325786,0.236566407570125,0.52382561676242,0.0844880027036161,0,0.0730994152046784,0.682261208576998,0.389863547758285,0.243664717348928,0
"Brazil","Belo Horizonte",2012,11,21196,0.212304208341196,0.448197773164748,0.901113417625967,0.146254010190602,0,0.265392781316348,0.424628450106157,0.530785562632696,0.141542816702052,0,0.202839756592292,0.659229208924949,0.380324543610548,0.253549695740365,0
"Brazil","Belo Horizonte",2012,12,20927,0.195919147512783,0.410952358197544,0.716777368949204,0.109905863238878,0.0047785157929947,0.214247455811462,0.339225138368149,0.48205677557579,0.0714158186038207,0,0.183246073298429,0.654450261780105,0.340314136125654,0.130890052356021,0
"Brazil","Belo Horizonte",2013,1,22521,0.346343412814706,0.568358421029262,1.00350783712979,0.23977620887172,0,0.352053646269908,0.46940486169321,0.519698239731769,0.134115674769489,0,0.273359840954274,0.869781312127237,0.546719681908549,0.497017892644135,0
"Brazil","Belo Horizonte",2013,2,22081,0.190208776776414,0.511752185136543,1.00538924867533,0.208323898374168,0,0.223099365024884,0.446198730049768,0.429037240432469,0.188776385790287,0,0.0999750062484379,0.799800049987503,0.449887528117971,0.299925018745314,0
"Brazil","Belo Horizonte",2013,3,22597,0.23896977474886,0.393857591715714,1.21697570473957,0.0973580563791654,0.0132760985971589,0.205479452054795,0.342465753424658,0.873287671232877,0.11986301369863,0,0.33198956604221,0.403130187336969,0.592838510789661,0.142281242589519,0.0237135404315864
"Brazil","Belo Horizonte",2013,4,22992,0.226165622825331,0.513221990257481,1.02644398051496,0.173973556019485,0.00434933890048713,0.28600269179004,0.487886944818304,0.689771197846568,0.0841184387617766,0.0168236877523553,0.167544279559598,0.765916706558162,0.406893250359023,0.287218764959311,0
"Brazil","Belo Horizonte",2013,5,23481,0.191644308164048,0.468463864401005,1.03487926408586,0.17035049614582,0,0.212591986917416,0.35977105478332,0.62142273098937,0.163532297628782,0,0.192539109506619,0.746089049338147,0.62575210589651,0.2647412755716,0
"Brazil","Belo Horizonte",2013,6,23063,0.195117721025018,0.481290378528379,0.901877466071196,0.14308632875168,0.00867189871222304,0.165755014089176,0.331510028178352,0.464114039449693,0.0497265042267529,0.0165755014089176,0.191938579654511,0.623800383877159,0.479846449136276,0.239923224568138,0
"Brazil","Belo Horizonte",2013,7,23541,0.161420500403551,0.50125313283208,0.947283462894524,0.182660039930334,0,0.11604774535809,0.331564986737401,0.497347480106101,0.0497347480106101,0,0.211914292441724,0.753473039792795,0.518012714857547,0.400282552389922,0
"Brazil","Belo Horizonte",2013,8,22578,0.190450881388963,0.522632651253433,1.00983258038799,0.159447249534946,0.0132872707945788,0.204081632653061,0.476190476190476,0.663265306122449,0.102040816326531,0.0170068027210884,0.224606937858747,0.698777140004991,0.374344896431245,0.324432243573746,0
"Brazil","Belo Horizonte",2013,9,22725,0.154015401540154,0.47964796479648,0.981298129812981,0.145214521452145,0.0044004400440044,0.203320908166723,0.406641816333446,0.440528634361234,0.084717045069468,0.0169434090138936,0.147167034584253,0.49055678194751,0.416973264655384,0.147167034584253,0
"Brazil","Belo Horizonte",2013,10,22658,0.203018801306382,0.529614264277518,0.96654603230647,0.154470827080943,0,0.154825391364184,0.430070531567177,0.619301565456735,0.137622570101497,0,0.247463499133878,0.816629547141797,0.247463499133878,0.197970799307102,0
"Brazil","Belo Horizonte",2013,11,22137,0.176175633554682,0.451732393729954,0.831187604463116,0.149071689930885,0,0.105596620908131,0.299190425906371,0.369588173178458,0.0703977472720873,0,0.203977562468129,0.637429882712902,0.407955124936257,0.178480367159612,0
"Brazil","Belo Horizonte",2013,12,21893,0.196409811355228,0.529849723655963,0.676015164664505,0.210112821449778,0.0137030100945508,0.122228042605203,0.331761829928409,0.34922297887201,0.174611489436005,0,0.364109232769831,0.910273081924577,0.312093628088427,0.338101430429129,0.0520156046814044
"Brazil","Belo Horizonte",2014,1,21288,0.286546411123638,0.685832393836903,0.958286358511838,0.314731304021045,0.00939496429913566,0.181752090149037,0.54525627044711,0.563431479462014,0.272628135223555,0,0.212145319543888,1.03420843277645,0.424290639087775,0.503845133916733,0
"Brazil","Belo Horizonte",2014,2,21861,0.173825534056082,0.466584328255798,0.969763505786561,0.169251177896711,0,0.158590308370044,0.370044052863436,0.52863436123348,0.105726872246696,0,0.133868808567604,0.669344042838019,0.481927710843374,0.240963855421687,0
"Brazil","Belo Horizonte",2014,3,22036,0.158831003811944,0.381194409148666,0.966600108912688,0.136140860410238,0,0.12233484795526,0.244669695910521,0.559245019224047,0.139811254806012,0,0.132135306553911,0.554968287526427,0.396405919661734,0.158562367864693,0
"Brazil","Belo Horizonte",2014,4,22797,0.201780936088082,0.443040750976006,0.960652717462824,0.166688599377111,0,0.170415814587594,0.119291070211316,0.511247443762781,0.0852079072937969,0,0.266880170803309,0.800640512409928,0.427008273285295,0.29356818788364,0
"Brazil","Belo Horizonte",2014,5,22983,0.169690640908498,0.426402123308532,0.800591741722143,0.191445851281382,0.00870208414915372,0.13550135501355,0.237127371273713,0.592818428184282,0.0846883468834688,0,0.211304807184363,0.977284733227681,0.211304807184363,0.2905441098785,0
"Brazil","Belo Horizonte",2014,6,22532,0.137582105450027,0.41274631635008,0.67903426238239,0.133143973016155,0.00887626486774365,0.191204588910134,0.295498001042934,0.451938119242135,0.0869111767773336,0,0.159659393294305,0.612027674294838,0.133049494411921,0.266098988823842,0
"Brazil","Belo Horizonte",2014,7,23687,0.135095199898679,0.447502849664373,0.810571199392072,0.19419934985435,0.00422172499683371,0.101608806096528,0.254022015241321,0.60965283657917,0.152413209144793,0.0169348010160881,0.126839167935058,0.811770674784373,0.329781836631152,0.30441400304414,0
"Brazil","Belo Horizonte",2014,8,22573,0.13290213972445,0.385416205200904,0.846143622912329,0.084171355158818,0.00886014264829664,0.104202848211184,0.2257728377909,0.503647099687391,0.0521014241055922,0,0.220567962503446,0.551419906258616,0.220567962503446,0.165425971877585,0
"Brazil","Belo Horizonte",2014,9,22507,0.0799751188519127,0.315457413249211,0.65757319944906,0.0977473674856711,0.00888612431687919,0.0519031141868512,0.224913494809689,0.363321799307958,0,0,0.111172873818788,0.47248471372985,0.277932184546971,0.194552529182879,0
"Brazil","Belo Horizonte",2014,10,23429,0.102437150539929,0.405480387553886,0.964616500917666,0.11524179435742,0,0.0853533629224991,0.409696142027996,0.870604301809491,0.0853533629224991,0,0.160299225220411,0.454181138124499,0.480897675661234,0.160299225220411,0
"Brazil","Belo Horizonte",2014,11,23518,0.0935453695042095,0.399693851517986,0.667573773280041,0.15732630325708,0,0.0680503572643756,0.255188839741409,0.527390268798911,0.0850629465804695,0,0.274725274725275,0.467032967032967,0.247252747252747,0.247252747252747,0
"Brazil","Belo Horizonte",2014,12,22414,0.14722941019006,0.352458285000446,0.646917105380566,0.10707593468368,0.00446149727848666,0.160857908847185,0.268096514745308,0.464700625558534,0.0357462019660411,0,0.118098612341305,0.590493061706525,0.354295837023915,0.23619722468261,0
"Brazil","Belo Horizonte",2015,1,22384,0.187634024303074,0.643316654753395,0.83541815582559,0.290385989992852,0.0044674767691208,0.142729705619982,0.267618198037467,0.570918822479929,0.142729705619982,0,0.263620386643234,0.995899238429994,0.410076157000586,0.70298769771529,0
"Brazil","Belo Horizonte",2015,2,22866,0.15306568704627,0.55103647336657,0.695355549724482,0.218665267208957,0.00437330534417913,0.123131046613896,0.369393139841689,0.545294635004398,0.0879507475813544,0,0.233644859813084,0.525700934579439,0.496495327102804,0.321261682242991,0
"Brazil","Belo Horizonte",2015,3,23978,0.087580281925098,0.504629243473184,0.763199599632997,0.191842522312119,0.0125114688464426,0.137764766660926,0.361632512484932,0.551059066643706,0.120544170828311,0,0.111607142857143,0.5859375,0.362723214285714,0.279017857142857,0
"Brazil","Belo Horizonte",2015,4,23281,0.120269747863064,0.446716206348524,0.730209183454319,0.17610927365663,0,0.106704606082163,0.355682020273875,0.462386626356038,0.14227280810955,0,0.0914355379457483,0.640048765620238,0.33526363913441,0.243828101188662,0
"Brazil","Belo Horizonte",2015,5,23957,0.125224360312226,0.438285261092791,0.730475435154652,0.14192094168719,0.00417414534374087,0.0354609929078014,0.230496453900709,0.549645390070922,0,0,0.277949351451513,0.772081531809759,0.339715873996294,0.401482396541075,0
"Brazil","Belo Horizonte",2015,6,24204,0.111551809618245,0.437944141464221,0.743678730788299,0.190051231201454,0,0.146627565982405,0.274926686217009,0.641495601173021,0.128299120234604,0,0.0621504039776258,0.776880049720323,0.279676817899316,0.403977625854568,0
"Brazil","Belo Horizonte",2015,7,25565,0.144729121846274,0.5476237042832,0.664971640915314,0.19166829649912,0.00391159788773714,0.0708340711882415,0.407295909332389,0.47812998052063,0.194793695767664,0,0.172910662824208,0.835734870317003,0.432276657060519,0.259365994236311,0
"Brazil","Belo Horizonte",2015,8,26239,0.0838446587141278,0.514501314836693,0.70124623651816,0.213422767635962,0.00762224170128435,0.0869867780097425,0.313152400835073,0.452331245650661,0.139178844815588,0,0.142166619277794,0.824566391811203,0.369633210122263,0.312766562411146,0.0284333238555587
"Brazil","Belo Horizonte",2015,9,27335,0.131699286628864,0.438997622096214,0.651179806109384,0.160965794768612,0.00365831351746845,0.116959064327485,0.334168755221387,0.434419381787803,0.0668337510442774,0,0.16229375169056,0.459832296456586,0.32458750338112,0.189342710305653,0
"Brazil","Belo Horizonte",2015,10,26315,0.0874026220786624,0.475014250427513,0.72582177465324,0.193805814174425,0,0.072020165646381,0.324090745408714,0.3781058696435,0.180050414115952,0,0.0849377123442809,0.821064552661382,0.481313703284258,0.36806342015855,0
"Brazil","Belo Horizonte",2015,11,26041,0.134403440728083,0.537613762912331,0.64129641718828,0.176644522099766,0.00384009830651665,0.110071546505228,0.275178866263071,0.421940928270042,0.091726288754357,0,0.228702115494568,0.743281875357347,0.314465408805031,0.228702115494568,0
"Brazil","Belo Horizonte",2015,12,25908,0.131233595800525,0.44387833873707,0.540373629766867,0.146672842365293,0,0.0732332478945441,0.256316367630904,0.476016111314537,0.0915415598681802,0,0.117302052785924,0.586510263929619,0.263929618768328,0.263929618768328,0
"Brazil","Belo Horizonte",2016,1,26777,0.171789222093588,0.687156888374351,0.698360533293498,0.291294767897823,0.0186727415319117,0.0887154009936125,0.28388928317956,0.532292405961675,0.0532292405961675,0.0177430801987225,0.177619893428064,0.917702782711664,0.59206631142688,0.355239786856128,0
"Brazil","Belo Horizonte",2016,2,27507,0.156323844839495,0.596211873341331,0.687097829643364,0.218126295124877,0.00363543825208129,0.136869118905047,0.342172797262618,0.547476475620188,0.136869118905047,0,0.115740740740741,0.83912037037037,0.289351851851852,0.434027777777778,0
"Brazil","Belo Horizonte",2016,3,28860,0.103950103950104,0.606375606375606,0.706860706860707,0.246015246015246,0.00693000693000693,0.11479173499508,0.44276812069531,0.475565759265333,0.147589373565103,0,0.137324910738808,0.796484482285087,0.576764625102994,0.384509750068662,0
"Brazil","Belo Horizonte",2016,4,29173,0.106262640112433,0.613581050971789,0.599869742570185,0.215953107325267,0.0102834813012032,0.130039011703511,0.373862158647594,0.471391417425228,0.0975292587776333,0.0162548764629389,0.135171668018383,0.865098675317653,0.378480670451473,0.351446336847797,0
"Brazil","Belo Horizonte",2016,5,30714,0.113954548414404,0.673959757765189,0.647913003841896,0.231164941069219,0.00325584424041154,0.0315656565656566,0.536616161616162,0.55239898989899,0.126262626262626,0,0.264410364886304,1.11052353252247,0.502379693283977,0.528820729772607,0
"Brazil","Belo Horizonte",2016,6,30991,0.100029040689232,0.638895163111871,0.632441676615792,0.238779000354942,0,0.0314564328405159,0.566215791129286,0.408933626926706,0.157282164202579,0,0.133404482390608,0.747065101387407,0.400213447171825,0.186766275346852,0
"Brazil","Belo Horizonte",2016,7,31862,0.103571652752495,0.630845521310652,0.633984056242546,0.235390119892034,0.0188312095913628,0.0474083438685209,0.268647281921618,0.505689001264223,0.0790139064475348,0,0.184453227931489,0.658761528326746,0.500658761528327,0.368906455862978,0.0263504611330698
"Brazil","Belo Horizonte",2016,8,32134,0.108918902097467,0.72820065973735,0.737536565631418,0.298748988610195,0.0031119686313562,0.0470809792843691,0.486503452605147,0.51789077212806,0.235404896421846,0,0.154400411734431,1.0036026762738,0.797735460627895,0.463201235203294,0
"Brazil","Belo Horizonte",2016,9,31647,0.129554144152684,0.578253862925396,0.676209435333523,0.24330900243309,0,0.0791514959632737,0.364096881431059,0.506569574164952,0.142472692733893,0,0.157109190887667,0.837915684734224,0.418957842367112,0.418957842367112,0
"Brazil","Belo Horizonte",2016,10,32893,0.0972851366552154,0.574590338369866,0.69315659866841,0.252333323199465,0,0.0922225637872733,0.338149400553335,0.630187519213034,0.107592991085152,0,0.0522739153162572,0.705697856769472,0.470465237846315,0.392054364871929,0
"Brazil","Belo Horizonte",2016,11,34381,0.116343329164364,0.660248393007766,0.529362147697856,0.229778075099619,0,0.117681671079729,0.456016475433951,0.323624595469256,0.088261253309797,0,0.151209677419355,1.13407258064516,0.403225806451613,0.47883064516129,0
"Brazil","Belo Horizonte",2016,12,32901,0.188444120239506,0.610923680131303,0.522780462599921,0.230996018358105,0.00607884258837117,0.122925629993854,0.338045482483098,0.399508297480025,0.107559926244622,0.0153657037492317,0.0521784503000261,0.704409079050352,0.365249152100183,0.26089225150013,0
"Brazil","Belo Horizonte",2017,1,33183,0.195883434288642,0.919145345508242,0.696139589548865,0.400807642467529,0,0.167249505853733,0.486544017029041,0.532157518625513,0.152045005321575,0,0.162866449511401,1.1672095548317,0.325732899022801,0.488599348534202,0
"Brazil","Belo Horizonte",2017,2,32762,0.140406568585556,0.763079177095415,0.476161406507539,0.323545571088456,0.00915695012514499,0.0469704086425552,0.375763269140442,0.438390480663848,0.125254423046814,0.0156568028808517,0.166898470097357,1.00139082058414,0.250347705146036,0.417246175243394,0
"Brazil","Belo Horizonte",2017,3,34233,0.111004001986387,0.855899278473987,0.686472117547396,0.385592849005346,0.00292115794701019,0.0150285542530809,0.435828073339345,0.616170724376315,0.135256988277728,0,0.187265917602996,1.20385232744783,0.374531835205993,0.668806848582129,0
"Brazil","Belo Horizonte",2017,4,34070,0.120340475491635,0.722042852949809,0.481361901966539,0.287643087760493,0,0.120300751879699,0.481203007518797,0.43609022556391,0.165413533834586,0,0.193691200885446,0.857775318206973,0.3043718871057,0.415052573325955,0
"Brazil","Belo Horizonte",2017,5,35190,0.0994600738846263,0.701903949985791,0.556976413753907,0.287013356067064,0,0.0584368151935719,0.379839298758218,0.540540540540541,0.0584368151935719,0,0.0268096514745308,0.563002680965147,0.348525469168901,0.375335120643432,0
"Brazil","Belo Horizonte",2017,6,34119,0.120167648524283,0.712213136375627,0.530496204460858,0.290160907412292,0.00586183651337964,0.0903614457831325,0.391566265060241,0.451807228915663,0.150602409638554,0.0150602409638554,0.171919770773639,0.945558739255014,0.257879656160458,0.487106017191977,0
"Brazil","Belo Horizonte",2017,7,35764,0.128620959624203,0.64869701375685,0.531260485404317,0.271222458337994,0,0.0730033581544751,0.350416119141481,0.438020148926851,0.189808731201635,0,0.169204737732657,1.12803158488438,0.366610265087422,0.423011844331641,0
"Brazil","Belo Horizonte",2017,8,36460,0.128908392759188,0.770707624794295,0.526604498080088,0.266044980800878,0.00548546352166758,0.043535045711798,0.377303729502249,0.449862139021913,0.116093455231461,0.0145116819039327,0.138657792567942,1.05379922351636,0.499168053244592,0.388241819190238,0
"Brazil","Belo Horizonte",2017,9,37230,0.126242277733011,0.633897394574268,0.470051034112275,0.220252484555466,0.008058017727639,0.0865800865800866,0.418470418470418,0.461760461760462,0.0865800865800866,0.0144300144300144,0.08114687584528,0.676223965377333,0.432783337841493,0.351636461996213,0
"Brazil","Belo Horizonte",2017,10,37037,0.113400113400113,0.71010071010071,0.4995004995005,0.272700272700273,0.0081000081000081,0.0890207715133531,0.370919881305638,0.459940652818991,0.118694362017804,0,0.166481687014428,0.638179800221976,0.471698113207547,0.194228634850167,0
"Brazil","Belo Horizonte",2017,11,36798,0.141312027827599,0.744605685091581,0.402195771509321,0.298929289635306,0.0054350779933692,0.0757346258709482,0.393820054528931,0.348379279006362,0.0757346258709482,0,0.169252468265162,0.677009873060649,0.253878702397743,0.394922425952045,0
"Brazil","Belo Horizonte",2017,12,36821,0.19010890524429,0.706118790907363,0.342196029439722,0.19825642975476,0,0.0605235285217128,0.287486760478136,0.348010288999849,0.0605235285217128,0,0.0883652430044183,0.706921944035346,0.235640648011782,0.265095729013255,0
